iter	Passed	Remaining
0	138	138554
1	141	70624
2	143	47822
3	146	36392
4	148	29482
5	150	24871
6	152	21595
7	154	19167
8	156	17240
9	158	15689
10	160	14427
11	163	13425
12	165	12533
13	166	11756
14	168	11092
15	170	10503
16	172	9989
17	174	9536
18	177	9164
19	179	8799
20	181	8464
21	183	8152
22	185	7863
23	186	7581
24	188	7339
25	189	7113
26	191	6903
27	192	6696
28	194	6500
29	195	6318
30	196	6153
31	198	5994
32	199	5854
33	201	5718
34	202	5591
35	204	5475
36	206	5373
37	208	5267
38	209	5164
39	211	5071
40	212	4979
41	214	4889
42	215	4801
43	217	4716
44	218	4637
45	220	4562
46	221	4485
47	222	4411
48	223	4339
49	224	4274
50	226	4209
51	227	4151
52	228	4091
53	230	4034
54	231	3980
55	233	3928
56	234	3879
57	236	3836
58	237	3795
59	239	3752
60	241	3713
61	243	3677
62	244	3642
63	246	3608
64	248	3574
65	250	3539
66	251	3506
67	252	3463
68	254	3436
69	256	3404
70	257	3375
71	259	3345
72	261	3321
73	263	3298
74	265	3269
75	266	3242
76	268	3218
77	270	3195
78	272	3174
79	274	3151
80	275	3129
81	277	3108
82	279	3084
83	280	3060
84	281	3033
85	283	3013
86	284	2988
87	286	2971
88	288	2955
89	290	2939
90	292	2920
91	293	2899
92	295	2878
93	296	2858
94	298	2840
95	300	2826
96	302	2811
97	303	2797
98	305	2781
99	307	2764
100	308	2747
101	309	2724
102	311	2709
103	312	2692
104	313	2675
105	315	2659
106	317	2646
107	318	2632
108	320	2616
109	321	2602
110	323	2593
111	326	2589
112	328	2578
113	330	2568
114	332	2558
115	334	2545
116	336	2536
117	337	2524
118	339	2510
119	340	2497
120	342	2491
121	344	2479
122	345	2462
123	348	2458
124	349	2446
125	350	2432
126	351	2419
127	352	2402
128	354	2391
129	355	2377
130	356	2366
131	357	2354
132	359	2341
133	360	2330
134	361	2318
135	362	2305
136	364	2293
137	364	2279
138	366	2267
139	367	2255
140	368	2243
141	369	2230
142	370	2219
143	371	2208
144	372	2197
145	373	2187
146	375	2176
147	376	2167
148	377	2156
149	378	2145
150	379	2134
151	380	2123
152	381	2113
153	382	2102
154	383	2092
155	384	2081
156	385	2071
157	387	2062
158	388	2053
159	389	2044
160	390	2036
161	391	2026
162	393	2018
163	394	2008
164	395	2000
165	396	1990
166	397	1982
167	398	1972
168	399	1964
169	400	1955
170	401	1946
171	402	1937
172	404	1931
173	405	1924
174	406	1916
175	407	1908
176	408	1900
177	409	1892
178	411	1885
179	411	1876
180	412	1866
181	413	1859
182	414	1852
183	415	1843
184	416	1835
185	417	1825
186	418	1821
187	420	1814
188	421	1806
189	422	1800
190	423	1794
191	425	1788
192	426	1781
193	427	1776
194	428	1769
195	429	1763
196	430	1756
197	432	1750
198	433	1744
199	434	1737
200	435	1730
201	436	1724
202	437	1717
203	438	1710
204	439	1703
205	440	1697
206	441	1691
207	442	1686
208	444	1680
209	444	1673
210	445	1667
211	447	1662
212	448	1656
213	449	1651
214	450	1645
215	451	1640
216	452	1634
217	453	1628
218	454	1622
219	456	1616
220	457	1611
221	458	1605
222	459	1600
223	461	1597
224	462	1593
225	464	1591
226	466	1590
227	468	1588
228	470	1584
229	472	1580
230	473	1575
231	474	1569
232	475	1566
233	476	1560
234	478	1556
235	479	1550
236	480	1546
237	481	1540
238	482	1535
239	483	1530
240	484	1526
241	485	1521
242	486	1516
243	487	1511
244	489	1508
245	490	1503
246	491	1498
247	492	1494
248	493	1489
249	494	1484
250	495	1479
251	497	1475
252	498	1471
253	499	1467
254	500	1462
255	501	1458
256	502	1453
257	504	1449
258	505	1446
259	507	1443
260	508	1439
261	509	1436
262	511	1432
263	512	1428
264	514	1425
265	515	1423
266	517	1421
267	520	1420
268	521	1416
269	523	1414
270	524	1411
271	525	1406
272	526	1403
273	528	1400
274	530	1397
275	531	1394
276	534	1394
277	536	1392
278	538	1390
279	539	1386
280	540	1383
281	541	1379
282	543	1376
283	545	1376
284	547	1374
285	549	1372
286	551	1369
287	552	1366
288	554	1364
289	555	1360
290	557	1357
291	558	1353
292	559	1350
293	560	1346
294	562	1343
295	563	1340
296	564	1336
297	565	1332
298	566	1329
299	567	1325
300	569	1321
301	569	1317
302	571	1313
303	572	1310
304	573	1307
305	574	1303
306	576	1300
307	577	1297
308	578	1293
309	579	1289
310	580	1286
311	581	1283
312	583	1280
313	584	1277
314	585	1273
315	586	1270
316	587	1266
317	589	1263
318	590	1259
319	591	1256
320	592	1252
321	593	1249
322	594	1246
323	595	1242
324	596	1239
325	597	1236
326	598	1232
327	600	1229
328	601	1226
329	602	1223
330	603	1219
331	604	1216
332	605	1213
333	607	1211
334	608	1208
335	610	1205
336	611	1202
337	612	1199
338	613	1196
339	615	1193
340	616	1190
341	617	1187
342	618	1185
343	619	1181
344	621	1179
345	622	1176
346	623	1174
347	625	1171
348	626	1168
349	627	1164
350	628	1161
351	629	1159
352	630	1156
353	631	1153
354	633	1150
355	634	1147
356	635	1144
357	636	1141
358	637	1138
359	638	1135
360	640	1133
361	641	1130
362	642	1127
363	643	1124
364	644	1120
365	645	1118
366	646	1115
